Time,Signal
0.0,0.0
0.001,3.3324815148420797
0.002,5.966958442775692
0.003,7.399504922185589
0.004,7.45381463568367
0.005,6.313751514675044
0.006,4.447706966787291
0.007,2.452574437802915
0.008,0.8700723038704901
0.009000000000000001,0.034791282414551095
0.01,-2.4492935982947064e-16
0.011,0.5591304788489495
0.012,1.3481401854058914
0.013000000000000001,1.9880081554553075
0.014,2.2160710262094754
0.015,1.96261050550515
0.016,1.351402222346123
0.017,0.6311851705230639
0.018000000000000002,0.06887923804661522
0.019,-0.153381146717106
0.02,-2.6781411473390997e-16
0.021,0.4169995297736282
0.022,0.8931557438788791
0.023,1.2179224214025242
0.024,1.2570963443056173
0.025,0.9999999999999989
0.026000000000000002,0.5554973897558443
0.027,0.10149860183259052
0.028,-0.18971283029890418
0.029,-0.21982182393522276
0.03,-3.177278733663756e-15
0.031,0.35878858444403294
0.032,0.6947838329699318
0.033,0.8626035043611894
0.034,0.7911503804229376
0.035,0.509525449494425
0.036000000000000004,0.13173676468315965
0.037,-0.19229713973526774
0.038,-0.3387384953824799
0.039,-0.2595135697013208
0.04,-4.246059270053043e-16
0.041,0.3216354723029713
0.042,0.564235398947701
0.043000000000000003,0.6218282405501888
0.044,0.46643684997812884
0.045,0.15838444032453614
0.046,-0.1796266298973196
0.047,-0.41365898942003254
0.048,-0.45379177520916336
0.049,-0.29089168477397337
0.05,-2.388680238973927e-15
0.051000000000000004,0.2908916847739689
0.052000000000000005,0.4537917752091607
0.053,0.4136589894200312
0.054,0.1796266298973218
0.055,-0.15838444032453833
0.056,-0.46643684997812773
0.057,-0.6218282405501924
0.058,-0.5642353989476988
0.059000000000000004,-0.3216354723029612
0.06,4.1780298288594237e-16
0.061,0.25951356970132633
0.062,0.33873849538248146
0.063,0.1922971397352643
0.064,-0.13173676468316153
0.065,-0.5095254494944321
0.066,-0.7911503804229509
0.067,-0.8626035043611967
0.068,-0.6947838329699396
0.069,-0.3587885844440375
0.07,4.502743419094582e-15
0.07100000000000001,0.21982182393522098
0.07200000000000001,0.18971283029890063
0.073,-0.1014986018325843
0.074,-0.5554973897558445
0.075,-0.9999999999999989
0.076,-1.257096344305617
0.077,-1.2179224214025177
0.078,-0.8931557438788768
0.079,-0.416999529773624
0.08,-1.1822787613981556e-15
0.081,0.15338114671710612
0.082,-0.06887923804661078
0.083,-0.6311851705230677
0.084,-1.3514022223461266
0.085,-1.9626105055051568
0.08600000000000001,-2.216071026209482
0.08700000000000001,-1.9880081554553137
0.088,-1.3481401854058992
0.089,-0.5591304788489568
0.09,3.7908400945106095e-15
0.091,-0.03479128241454432
0.092,-0.8700723038704797
0.093,-2.452574437802902
0.094,-4.447706966787292
